date,open,high,close,low,volume,amount
2016-07-22,16.66,17.27,16.77,16.6,37068769.0,628630097.0
2016-07-21,16.53,16.91,16.7,16.53,35287234.0,591854482.0
2016-07-20,15.83,17.15,16.85,15.83,64310219.0,1066075970.0
2016-07-19,15.79,15.91,15.91,15.57,22688666.0,358379114.0
2016-07-18,16.03,16.08,15.82,15.79,16637938.0,265792388.0
2016-07-15,16.25,16.29,16.04,15.93,18259082.0,294519110.0
2016-07-14,16.18,16.29,16.27,16.03,22335802.0,362125162.0
2016-07-13,16.11,16.52,16.19,16.0,32355861.0,527692963.0
2016-07-12,15.49,16.1,16.08,15.49,28026134.0,443799160.0
2016-07-11,15.91,16.12,15.58,15.54,30739556.0,487867462.0
2016-07-08,15.39,15.88,15.73,15.34,30583654.0,479461233.0
2016-07-07,15.62,15.65,15.39,15.26,24250178.0,375729475.0
2016-07-06,15.4,15.82,15.68,15.29,25831811.0,403758646.0
2016-07-05,15.47,15.71,15.47,15.39,21637166.0,337456937.0
2016-07-04,15.03,15.57,15.43,15.01,23158898.0,356885246.0
2016-07-01,15.17,15.29,15.07,15.0,15026850.0,228314338.0
2016-06-30,15.06,15.34,15.15,14.98,19231067.0,292598239.0
2016-06-29,15.09,15.2,15.01,14.97,17377236.0,263009853.0
2016-06-28,14.68,15.07,15.04,14.67,20051465.0,299309973.0
2016-06-27,14.29,14.8,14.75,14.29,15744770.0,230769304.0
2016-06-24,14.7,14.84,14.43,14.18,16231183.0,236595549.0
2016-06-23,14.91,14.91,14.71,14.59,11096109.0,164203787.0
2016-06-22,14.46,14.81,14.8,14.46,12684545.0,186272962.0
2016-06-21,14.78,15.01,14.58,14.5,18912958.0,280748030.0
2016-06-20,14.84,14.9,14.71,14.55,12643354.0,185967625.0
2016-06-17,14.74,15.0,14.82,14.68,15013919.0,224002017.0
2016-06-16,14.89,14.97,14.68,14.62,14396437.0,213723290.0
2016-06-15,14.52,15.14,14.94,14.43,20736048.0,309956277.0
2016-06-14,14.65,14.75,14.57,14.41,10608893.0,155176121.0
2016-06-13,15.14,15.24,14.69,14.6,23067822.0,345307169.0
2016-06-08,15.46,15.47,15.32,15.18,13403456.0,206188900.0
2016-06-07,15.5,15.53,15.44,15.32,12340679.0,190860868.0
2016-06-06,15.45,15.57,15.41,15.27,13934596.0,215611591.0
2016-06-03,15.11,15.86,15.55,15.06,27485348.0,426047641.0
2016-06-02,15.0,15.09,15.07,14.88,11435316.0,172075201.0
2016-06-01,14.99,15.19,14.97,14.92,15957846.0,240865862.0
